,PostId,PostUrl,Platform,ChannelID,ChannelName,ChannelEngagement,post_body_text,published_at,LikesCount,SharesCount,CommentsCount,ViewsCount,FollowersCount,FollowersCommentsRatio
3020,332698744,https://twitter.com/SenMarkey/status/1843382828874293302,Twitter,6931734,Ed Markey,"{""follower_count"":257393,""following_count"":1823,""like_count"":null,""post_count"":21503,""views_count"":null,""comment_count"":null,""share_count"":null}",https://t.co/RjexWFme8K,2024-10-07T20:08:09.000Z,5,0,4,2281,25739,6434.75
3021,332698761,https://twitter.com/SenMarkey/status/1843382826110201878,Twitter,6931734,Ed Markey,"{""follower_count"":257393,""following_count"":1823,""like_count"":null,""post_count"":21503,""views_count"":null,""comment_count"":null,""share_count"":null}",My statement on one year since the October 7th Hamas attack on Israel. https://t.co/OBFyydV8mE,2024-10-07T20:08:08.000Z,19,3,11,3320,25739,2339.909090909091
3022,332708545,https://twitter.com/RepJohnLarson/status/1843382052286279859,Twitter,7645931,Rep. John Larson,"{""follower_count"":29328,""following_count"":927,""like_count"":null,""post_count"":9784,""views_count"":null,""comment_count"":null,""share_count"":null}","The October 7th attack by Hamas was the deadliest day for the Jewish people since the Holocaust. We stand with the people of Israel and are committed to their security. I join @POTUS, Israelis, and the families of hostages demanding their safe return and an end to this war. https://t.co/JlYHe0U91X",2024-10-07T20:05:04.000Z,5,5,5,598,2932,586.4
3023,330550323,https://twitter.com/Bashawforsenate/status/1843381776485605404,Twitter,22128965,Curtis Bashaw,"{""follower_count"":2192,""following_count"":124,""like_count"":null,""post_count"":469,""views_count"":null,""comment_count"":null,""share_count"":null}","Today marks one year since the barbaric attacks on October 7, 2023. Today we mourn the 1,200 lives lost and pray for the 101 hostages, including the American hostages.

We can never allow the world to forget. 
I stand in solidarity with Israel, always.
#NeverAgain #BringThemHome",2024-10-07T20:03:58.000Z,45,8,3,2066,219,73.0
3024,330263706,https://twitter.com/VP/status/1843381479994253430,Twitter,9749290,Vice President Kamala Harris,"{""follower_count"":15075382,""following_count"":6,""like_count"":null,""post_count"":11041,""views_count"":null,""comment_count"":null,""share_count"":null}","Join me and the @SecondGentleman as we speak about the horror of Hamas’ October 7, 2023 terrorist attack in Israel and as we dedicate a tree at the Vice President’s Residence to honor the 1,200 innocent people killed in that heinous attack. https://t.co/22fl0rvsXB",2024-10-07T20:02:47.000Z,2055,572,1000,246041,1507538,1507.538
3025,332697950,https://twitter.com/RepLloydDoggett/status/1843380647680979437,Twitter,7188405,Lloyd Doggett,"{""follower_count"":48981,""following_count"":1341,""like_count"":170902,""post_count"":18513,""views_count"":8557262,""comment_count"":19796,""share_count"":98143}","Within hours of the Hamas atrocities of October 7, I joined members of the Austin Jewish Community and our allies to Stand With Israel. I continue to stand with Israel, to defend its right to exist and defend itself—but not with the policies of Netanyahu, Ben Gvir, and Smotrich,",2024-10-07T19:59:29.000Z,15,1,3,1218,4898,1632.6666666666667
3026,332511740,https://twitter.com/Bumgarner4HD63/status/1843380507561861166,Twitter,19886988,Rep. Ben Bumgarner,"{""follower_count"":2060,""following_count"":430,""like_count"":null,""post_count"":1416,""views_count"":null,""comment_count"":null,""share_count"":null}",We remember all those that lost their lives on October 7th. To the hostages that are still being held in captivity we pray for your safe return. You are not forgotten and we stand with Israel. https://t.co/QCzSjcUUoR,2024-10-07T19:58:56.000Z,21,1,1,660,206,206.0
3027,332921063,https://twitter.com/GovLarryHogan/status/1843380344793481707,Twitter,10215766,Governor Larry Hogan,"{""follower_count"":259426,""following_count"":700,""like_count"":null,""post_count"":15602,""views_count"":null,""comment_count"":null,""share_count"":null}","RT @J_Insider: .@GovLarryHogan calls on Congress to reconvene to pass an Israel aid package, @emilyfjacobs reports.

https://t.co/2qGKWKc1dR",2024-10-07T19:58:17.000Z,0,5,0,0,25942,inf
3028,332709724,https://twitter.com/QasimRashid/status/1843378981674037361,Twitter,9408228,"Qasim Rashid, Esq.","{""follower_count"":343721,""following_count"":350,""like_count"":null,""post_count"":21219,""views_count"":null,""comment_count"":null,""share_count"":null}","On Episode 140 of The Qasim Rashid Show, I'm joined by Palestinian American &amp; human rights activist Rush Darwish to discuss justice for Palestine.

Rush serves as president of Arab-American Biz &amp; Professional Assoc &amp; as Chair for Refugee Life Foundation:
https://t.co/Sco73egNZE",2024-10-07T19:52:52.000Z,21,8,0,5751,34372,inf
3029,330553382,https://twitter.com/ChaseForLiberty/status/1843378676588814774,Twitter,7519636,Chase Oliver,"{""follower_count"":30344,""following_count"":800,""like_count"":null,""post_count"":21281,""views_count"":null,""comment_count"":null,""share_count"":null}","One year ago today, over 1400 people lost their lives, and many more were injured by the Hamas attacks in Israel. In the year since, the region has seen tensions rise, and war erupting. 
It is important to remember that it is the governments, not the people at war with one",2024-10-07T19:51:39.000Z,223,46,43,13513,3034,70.55813953488372
3030,332186761,https://twitter.com/NickforAlaska/status/1843378195384676762,Twitter,18889239,Nick Begich,"{""follower_count"":2615,""following_count"":115,""like_count"":null,""post_count"":540,""views_count"":null,""comment_count"":null,""share_count"":null}","October 7th, like September 11th, is a sad reminder that terrorism targets the innocent and must be removed from its roots at all costs. Free and open societies demand it and our support for Israel must be unwavering as the nation strives to achieve lasting peace in its region.",2024-10-07T19:49:44.000Z,45,9,8,1335,261,32.625
